TARA	COMUNA	ORAS	JUDET	CONCATENATE	UID
ROMANIA	Ghedulesti	Ciuruleasa	Alba	Ghedulesti din Ciuruleasa (Alba)	4528
ROMANIA	Ghetari	Garda De Sus	Alba	Ghetari din Garda De Sus (Alba)	4563
ROMANIA	Ghioncani	Intregalde	Alba	Ghioncani din Intregalde (Alba)	4600
ROMANIA	Ghirbom	Berghin	Alba	Ghirbom din Berghin (Alba)	4607
ROMANIA	Giurgiut	Horea	Alba	Giurgiut din Horea (Alba)	4660
ROMANIA	Glod	Almasu Mare	Alba	Glod din Almasu Mare (Alba)	4686
ROMANIA	Goasele	Cugir	Alba	Goasele din Cugir (Alba)	4707
ROMANIA	Gojeiesti	Avram Iancu	Alba	Gojeiesti din Avram Iancu (Alba)	4729
ROMANIA	Gorgan	Cenade	Alba	Gorgan din Cenade (Alba)	4751
ROMANIA	Grosi	Ceru-bacainti	Alba	Grosi din Ceru-bacainti (Alba)	4862
ROMANIA	Gura Ariesului	Lunca Muresului	Alba	Gura Ariesului din Lunca Muresului (Alba)	4899
ROMANIA	Gura Cornei	Abrud	Alba	Gura Cornei din Abrud (Alba)	4909
ROMANIA	Gura Cutului	Vintu De Jos	Alba	Gura Cutului din Vintu De Jos (Alba)	4913
ROMANIA	Gura Izbitei	Bucium	Alba	Gura Izbitei din Bucium (Alba)	4923
ROMANIA	Gura Rosiei	Rosia Montana	Alba	Gura Rosiei din Rosia Montana (Alba)	4931
ROMANIA	Gura Sohodol	Sohodol	Alba	Gura Sohodol din Sohodol (Alba)	4934
ROMANIA	Hadarau	Lupsa	Alba	Hadarau din Lupsa (Alba)	4983
ROMANIA	Hanasesti	Garda De Sus	Alba	Hanasesti din Garda De Sus (Alba)	5018
ROMANIA	Hanasesti	Poiana Vadului	Alba	Hanasesti din Poiana Vadului (Alba)	5019
ROMANIA	Hapria	Ciugud	Alba	Hapria din Ciugud (Alba)	5030
ROMANIA	Harasti	Vidra	Alba	Harasti din Vidra (Alba)	5033
ROMANIA	Heleresti	Avram Iancu	Alba	Heleresti din Avram Iancu (Alba)	5070
ROMANIA	Helesti	Bucium	Alba	Helesti din Bucium (Alba)	5073
ROMANIA	Hoanca	Sohodol	Alba	Hoanca din Sohodol (Alba)	5113
ROMANIA	Hoanca	Vidra	Alba	Hoanca din Vidra (Alba)	5114
ROMANIA	Hodisesti	Bistra	Alba	Hodisesti din Bistra (Alba)	5130
ROMANIA	Hodobana	Arieseni	Alba	Hodobana din Arieseni (Alba)	5133
ROMANIA	Holobani	Lupsa	Alba	Holobani din Lupsa (Alba)	5154
ROMANIA	Horea	Horea	Alba	Horea (Alba)	5174
ROMANIA	Hudricesti	Bistra	Alba	Hudricesti din Bistra (Alba)	5221
ROMANIA	Huzaresti	Garda De Sus	Alba	Huzaresti din Garda De Sus (Alba)	5257
ROMANIA	Iacobesti	Rosia Montana	Alba	Iacobesti din Rosia Montana (Alba)	5268
ROMANIA	Ibru	Blandiana	Alba	Ibru din Blandiana (Alba)	5311
ROMANIA	Ighiel	Ighiu	Alba	Ighiel din Ighiu (Alba)	5354
ROMANIA	Ighiu	Ighiu	Alba	Ighiu (Alba)	5356
ROMANIA	Ignatesti	Rosia Montana	Alba	Ignatesti din Rosia Montana (Alba)	5359
ROMANIA	Incesti	Avram Iancu	Alba	Incesti din Avram Iancu (Alba)	5398
